"id","trial_samplename_2","trial_image_3","trial_price_4","onsale","onsaleprice","kind","typeclothes"
1,"SAMPLE","sample0.jpg",89,1,89,"casual","shirt"
2,"SAMPLE1","sample1.jpg",89,0,89,"formal","shirt"
3,"SAMPLE2","sample2.jpg",79,1,69,"formal","shirt"
4,"SAMPLE3","sample3.jpg",89,0,89,"casual","shirt"
5,"SAMPLE4","sample4.jpg",79,0,79,"casual","shirt"
6,"SAMPLE5","sample5.jpg",79,0,79,"formal","shirt"
12,"SAMPLESHOE","sampleshoe.jpg",79,1,69,"casual","shoe"
13,"SAMPLESHOE1","sampleshoe1.jpg",79,0,79,"casual","shoe"
14,"SAMPLESHOE2","sampleshoe2.jpg",79,1,69,"casual","shoe"
15,"SAMPLESHOE3","sampleshoe3.jpg",79,0,79,"casual","shoe"
16,"SAMPLESHOE4","sampleshoe4.jpg",79,0,79,"formal","shoe"
17,"SAMPLESHOE5","sampleshoe5.jpg",79,1,69,"casual","shoe"
23,"SAMPLEPANT","samplepant.jpg",79,1,59,"casual","pant"
24,"SAMPLEPANT1","samplepant1.jpg",79,0,79,"casual","pant"
25,"SAMPLEPANT2","samplepant2.jpg",79,1,69,"casual","pant"
26,"SAMPLEPANT3","samplepant3.jpg",59,0,59,"casual","pant"
27,"SAMPLEPANT4","samplepant4.jpg",69,0,69,"casual","pant"
